"id","nm","type"
"91.12","Pegunungan Bintang","Kabupaten"
"91.13","Yahukimo","Kabupaten"
"91.14","Tolikara","Kabupaten"
"91.15","Waropen","Kabupaten"
"91.16","Boven Digoel","Kabupaten"
"91.17","Mappi","Kabupaten"
"91.18","Asmat","Kabupaten"
"91.19","Supiori","Kabupaten"
"91.20","Mamberamo Raya","Kabupaten"
"91.21","Mamberamo Tengah","Kabupaten"
"91.22","Yalimo","Kabupaten"
"91.23","Lanny Jaya","Kabupaten"
"91.24","Nduga","Kabupaten"
"91.25","Puncak","Kabupaten"
"91.26","Dogiyai","Kabupaten"
"91.27","Intan Jaya","Kabupaten"
"91.28","Deiyai","Kabupaten"
"91.71","Jayapura","Kota"
"92.01","Sorong","Kabupaten"
"92.02","Manokwari","Kabupaten"
"92.03","Fakfak","Kabupaten"
"92.04","Sorong Selatan","Kabupaten"
"92.05","Raja Ampat","Kabupaten"
"92.06","Teluk Bintuni","Kabupaten"
"92.07","Teluk Wondama","Kabupaten"
"92.08","Kaimana","Kabupaten"
"92.09","Tambrauw","Kabupaten"
"92.10","Maybrat","Kabupaten"
"92.11","Manokwari Selatan","Kabupaten"
"92.12","Pegunungan Arfak","Kabupaten"
"92.71","Sorong","Kota"
